,index,specnum,c0_name,c0_start,c0_stop,c1_name,c1_start,c1_stop
472,7156,pp058c1-472,C2,555,580,C1,500,550
473,7170,pp064b2-473,C2,555,580,C1,500,550
474,7184,pp065b1-474,C2,555,580,C1,500,550
475,7198,pp067d2-475,C2,555,580,C1,500,550
476,7212,pp068b1-476,C2,555,580,C1,500,550
477,7226,pp082b1-477,C2,555,580,C1,500,550
478,7240,pp100b1-478,C2,555,580,C1,500,550
479,7254,pp110b3-479,C2,555,580,C1,500,550
480,7268,pp120e3-480,C2,555,580,C1,500,550
481,7282,pp147g3-481,C2,555,580,C1,500,550
482,7296,pp149b4-482,C2,555,580,C1,500,550
483,7310,pp152b3-483,C2,555,580,C1,500,550
484,7324,pp153e3-484,C2,555,580,C1,500,550
485,7338,pp161b1-485,C2,555,580,C1,500,550
486,7352,pp163a5-486,C2,555,580,C1,500,550
487,7366,pp169c3-487,C2,555,580,C1,500,550
488,7380,pp182b1-488,C2,555,580,C1,500,550
489,7394,smc9902a4-489,C2,555,580,C1,500,550
490,7408,smc9902b5-490,C2,555,580,C1,500,550
491,7422,smc9902c6-491,C2,555,580,C1,500,550
492,7436,smc9902e3-492,C2,555,580,C1,500,550
493,7450,smc9903j1-493,C2,555,580,C1,500,550
494,7464,smc9903m3-494,C2,555,580,C1,500,550
495,7478,smc9906c1-495,C2,555,580,C1,500,550
496,7492,smc9916b4-496,C2,555,580,C1,500,550
497,7506,smc9916e3-497,C2,555,580,C1,500,550
498,7520,pp056a3-498,C2,555,580,C1,500,550
499,7534,pp058a4-499,C2,555,580,C1,500,550
500,7548,pp060a4-500,C2,555,580,C1,500,550
501,7562,pp064a4-501,C2,555,580,C1,500,550
502,7576,pp067b4-502,C2,555,580,C1,500,550
503,7590,pp068a4-503,C2,555,580,C1,500,550
504,7604,smc9902a2-504,C2,555,580,C1,500,550
505,7618,smc9902b2-505,C2,555,580,C1,500,550
506,7632,smc9902c2-506,C2,555,580,C1,500,550
507,7646,smc9902e2-507,C2,555,580,C1,500,550
508,7660,smc9902f1-508,C2,555,580,C1,500,550
509,7674,smc9902g1-509,C2,555,580,C1,500,550
510,7688,smc9902h2-510,C2,555,580,C1,500,550
